symbol,side,threshold,variant,horizon,recorded,missing_exits,gap_qualified_n,gap_qualified_mean,n,mean,median,win_rate,pf
BTCUSDT,long,50,full,15,10,0,10,-0.1357069454208403,10,-0.1357069454208403,-0.12543120113602468,0.0,0.0
BTCUSDT,long,50,full,30,10,0,10,-0.0848009032280449,10,-0.0848009032280449,-0.1090787420817162,0.2,0.19677598213149353
BTCUSDT,long,50,full,60,10,0,10,-0.003836654811268825,10,-0.003836654811268825,-0.030499905493532764,0.5,0.9678082194690502
BTCUSDT,long,50,full,240,10,1,8,0.14878264349248776,9,0.10954652418589117,-0.14569569528164672,0.2222222222222222,1.266947482771394
BTCUSDT,long,50,no_delta,15,0,0,0,,0,,,,
BTCUSDT,long,50,no_delta,30,0,0,0,,0,,,,
BTCUSDT,long,50,no_delta,60,0,0,0,,0,,,,
BTCUSDT,long,50,no_delta,240,0,0,0,,0,,,,
BTCUSDT,long,50,no_oi,15,9,0,9,-0.20127056089530054,9,-0.20127056089530054,-0.1488200977138442,0.0,0.0
BTCUSDT,long,50,no_oi,30,9,0,9,-0.15399138961953282,9,-0.15399138961953282,-0.19402470542745565,0.1111111111111111,0.12954188979446912
BTCUSDT,long,50,no_oi,60,9,0,9,-0.040676493229669076,9,-0.040676493229669076,-0.10313503665359203,0.3333333333333333,0.577743756798014
BTCUSDT,long,50,no_oi,240,9,1,7,-0.07960267321081707,8,-0.09772312819660367,-0.18072457927857044,0.25,0.7829694137426488
BTCUSDT,long,50,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,50,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,50,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,50,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,long,60,full,15,8,0,8,-0.2180516804118342,8,-0.2180516804118342,-0.1840638786721881,0.0,0.0
BTCUSDT,long,60,full,30,8,0,8,-0.151682812154607,8,-0.151682812154607,-0.19968119494912162,0.125,0.1899323181900981
BTCUSDT,long,60,full,60,8,0,8,-0.11144200693230732,8,-0.11144200693230732,-0.13183104423034264,0.125,0.1359135820456962
BTCUSDT,long,60,full,240,8,1,6,-0.13856488396372132,7,-0.15085080241134824,-0.22456631309710973,0.2857142857142857,0.7275908493543795
BTCUSDT,long,60,no_delta,15,0,0,0,,0,,,,
BTCUSDT,long,60,no_delta,30,0,0,0,,0,,,,
BTCUSDT,long,60,no_delta,60,0,0,0,,0,,,,
BTCUSDT,long,60,no_delta,240,0,0,0,,0,,,,
BTCUSDT,long,60,no_oi,15,6,0,6,-0.2522657245118431,6,-0.2522657245118431,-0.2109233972023471,0.0,0.0
BTCUSDT,long,60,no_oi,30,6,0,6,-0.1671506388150689,6,-0.1671506388150689,-0.20862911483490942,0.16666666666666666,0.220995962416459
BTCUSDT,long,60,no_oi,60,6,0,6,-0.12818110516077794,6,-0.12818110516077794,-0.1625810363727186,0.16666666666666666,0.1542158078292248
BTCUSDT,long,60,no_oi,240,6,1,4,0.5439602163818924,5,0.39025491048609195,-0.056057780741993635,0.4,3.4085424829679094
BTCUSDT,long,60,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,60,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,60,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,60,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,long,70,full,15,4,0,4,-0.1933522016005378,4,-0.1933522016005378,-0.14858928195301202,0.0,0.0
BTCUSDT,long,70,full,30,4,0,4,-0.06814882845163284,4,-0.06814882845163284,-0.16693798657347536,0.25,0.510697062096504
BTCUSDT,long,70,full,60,4,0,4,-0.08251046616068669,4,-0.08251046616068669,-0.11242174052327403,0.25,0.35776550573774074
BTCUSDT,long,70,full,240,4,1,3,0.7669868376754333,3,0.7669868376754333,-0.056057780741993635,0.3333333333333333,5.234130273021462
BTCUSDT,long,70,no_delta,15,0,0,0,,0,,,,
BTCUSDT,long,70,no_delta,30,0,0,0,,0,,,,
BTCUSDT,long,70,no_delta,60,0,0,0,,0,,,,
BTCUSDT,long,70,no_delta,240,0,0,0,,0,,,,
BTCUSDT,long,70,no_oi,15,4,0,4,-0.185425603597008,4,-0.185425603597008,-0.13567972303805342,0.0,0.0
BTCUSDT,long,70,no_oi,30,4,0,4,-0.0993504669180294,4,-0.0993504669180294,-0.16693798657347536,0.25,0.2784163226302398
BTCUSDT,long,70,no_oi,60,4,0,4,-0.09580974080323146,4,-0.09580974080323146,-0.13638543807215842,0.25,0.32420473716859155
BTCUSDT,long,70,no_oi,240,4,1,3,0.7576029421822242,3,0.7576029421822242,-0.08420946722162082,0.3333333333333333,4.976338314807423
BTCUSDT,long,70,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,70,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,70,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,70,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,long,80,full,15,4,0,4,-0.1860819647575167,4,-0.1860819647575167,-0.13699244535907085,0.0,0.0
BTCUSDT,long,80,full,30,4,0,4,-0.0984112761827215,4,-0.0984112761827215,-0.16505960510285955,0.25,0.28032854285630004
BTCUSDT,long,80,full,60,4,0,4,-0.09965530690275937,4,-0.09965530690275937,-0.14407657027121423,0.25,0.31564299943594226
BTCUSDT,long,80,full,240,4,1,3,0.7488140161247044,3,0.7488140161247044,-0.08420946722162082,0.3333333333333333,4.75690528951717
BTCUSDT,long,80,no_delta,15,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta,30,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta,60,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta,240,0,0,0,,0,,,,
BTCUSDT,long,80,no_oi,15,4,0,4,-0.1860819647575167,4,-0.1860819647575167,-0.13699244535907085,0.0,0.0
BTCUSDT,long,80,no_oi,30,4,0,4,-0.0984112761827215,4,-0.0984112761827215,-0.16505960510285955,0.25,0.28032854285630004
BTCUSDT,long,80,no_oi,60,4,0,4,-0.09965530690275937,4,-0.09965530690275937,-0.14407657027121423,0.25,0.31564299943594226
BTCUSDT,long,80,no_oi,240,4,1,3,0.7488140161247044,3,0.7488140161247044,-0.08420946722162082,0.3333333333333333,4.75690528951717
BTCUSDT,long,80,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,long,90,full,15,0,0,0,,0,,,,
BTCUSDT,long,90,full,30,0,0,0,,0,,,,
BTCUSDT,long,90,full,60,0,0,0,,0,,,,
BTCUSDT,long,90,full,240,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,15,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,30,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,60,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,240,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,15,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,30,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,60,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,240,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,240,0,0,0,,0,,,,
