event_id,symbol,side,threshold,horizon,day,net,quality,beta_samples,beta,btc_directional_gross,residual_after_signal_cost
ETHUSDT:long:50:1788439069.565877,ETHUSDT,long,50,15,2026-09-03,-0.009471200417268011,True,35,1.1352569244923822,0.19275674073773175,-0.22829962508236085
ETHUSDT:long:50:1788455830.127855,ETHUSDT,long,50,15,2026-09-03,-0.0771722476164659,True,54,1.113154835724109,-0.06918750924967965,-0.00015583712347848333
ETHUSDT:long:50:1788471218.489975,ETHUSDT,long,50,15,2026-09-03,-0.45649701443323465,True,71,1.072425637470965,-0.5177882973012471,0.0987924303750608
ETHUSDT:long:50:1788490983.836880,ETHUSDT,long,50,15,2026-09-04,-0.18489783567706908,True,93,1.0489117886574801,-0.009394313967869827,-0.1750440290098208
ETHUSDT:long:50:1788511491.037888,ETHUSDT,long,50,15,2026-09-04,0.13411547960325632,True,96,1.0381713024480461,0.09220264338929418,0.03839334122664005
ETHUSDT:long:50:1788540474.809328,ETHUSDT,long,50,15,2026-09-04,-0.29764299854876597,True,96,1.2699861208426768,-0.13092091072800516,-0.1313752589961163
ETHUSDT:long:50:1788557614.497340,ETHUSDT,long,50,15,2026-09-04,-0.1187776406018769,True,96,1.329044716780982,-0.04751933999522784,-0.05562231283630012
ETHUSDT:long:50:1788593998.306329,ETHUSDT,long,50,15,2026-09-05,-0.17696591403844264,True,96,1.3528359112473336,-0.005646917096979731,-0.1693265618018119
ETHUSDT:long:50:1788623042.251099,ETHUSDT,long,50,15,2026-09-05,-0.07035787092232393,True,96,0.8712011134543544,0.08093660593284646,-0.14086993213023608
ETHUSDT:long:50:1788644524.707708,ETHUSDT,long,50,15,2026-09-05,0.09221163177456149,True,96,0.9235045508171296,0.03607069856919054,0.0589001774947611
ETHUSDT:long:50:1788659361.607322,ETHUSDT,long,50,15,2026-09-06,-0.11640194295080775,True,96,1.1143178820101423,-0.049437785988204475,-0.06131253397716105
ETHUSDT:long:50:1788693570.372481,ETHUSDT,long,50,15,2026-09-06,-0.15157183792057427,True,96,1.4536479586820348,0.003252968333611328,-0.1563005086983857
ETHUSDT:long:50:1788726112.870767,ETHUSDT,long,50,15,2026-09-06,-0.06587486268251552,True,96,1.5535771404069576,0.05232940987947021,-0.14717263764224645
ETHUSDT:long:50:1788439069.565877,ETHUSDT,long,50,30,2026-09-03,-0.05293758227563827,True,35,1.1352569244923822,0.29507493114917516,-0.3879234411068523
ETHUSDT:long:50:1788455830.127855,ETHUSDT,long,50,30,2026-09-03,0.10534602422370487,True,54,1.113154835724109,0.06585762912534321,0.03203628589350416
ETHUSDT:long:50:1788471218.489975,ETHUSDT,long,50,30,2026-09-03,-0.3937266150466322,True,71,1.072425637470965,-0.5331608999072812,0.17804880291102732
ETHUSDT:long:50:1788490983.836880,ETHUSDT,long,50,30,2026-09-04,-0.3095176060263348,True,93,1.0489117886574801,-0.0909765142150909,-0.21409126777516116
