event_id,variant,original_score,ablated_score,eligible,regime,passes_threshold
BTCUSDT:long:50:1788436707.984125,no_delta,56,6,False,RANGE,False
BTCUSDT:long:50:1788436707.984125,no_oi,56,46,True,TREND_UP,False
BTCUSDT:long:50:1788436707.984125,no_delta_oi,56,0,False,RANGE,False
BTCUSDT:long:50:1788455891.082260,no_delta,52,6,False,TRANSITION,False
BTCUSDT:long:50:1788455891.082260,no_oi,52,46,True,TREND_UP,False
BTCUSDT:long:50:1788455891.082260,no_delta_oi,52,0,False,TRANSITION,False
BTCUSDT:long:50:1788513426.338592,no_delta,52,6,False,TRANSITION,False
BTCUSDT:long:50:1788513426.338592,no_oi,52,46,True,TREND_UP,False
BTCUSDT:long:50:1788513426.338592,no_delta_oi,52,0,False,TRANSITION,False
BTCUSDT:long:50:1788548706.778625,no_delta,50,4,False,TRANSITION,False
BTCUSDT:long:50:1788548706.778625,no_oi,50,46,True,TREND_UP,False
BTCUSDT:long:50:1788548706.778625,no_delta_oi,50,0,False,TRANSITION,False
BTCUSDT:long:50:1788599163.482048,no_delta,50,4,False,RANGE,False
BTCUSDT:long:50:1788599163.482048,no_oi,50,46,True,TREND_UP,False
BTCUSDT:long:50:1788599163.482048,no_delta_oi,50,0,False,RANGE,False
BTCUSDT:long:50:1788624079.365264,no_delta,56,4,False,RANGE,False
BTCUSDT:long:50:1788624079.365264,no_oi,56,52,True,TREND_UP,True
BTCUSDT:long:50:1788624079.365264,no_delta_oi,56,0,False,RANGE,False
BTCUSDT:long:50:1788653741.911188,no_delta,54,6,False,RANGE,False
BTCUSDT:long:50:1788653741.911188,no_oi,54,48,True,TREND_UP,False
BTCUSDT:long:50:1788653741.911188,no_delta_oi,54,0,False,RANGE,False
BTCUSDT:long:50:1788686995.410030,no_delta,58,6,False,TRANSITION,False
BTCUSDT:long:50:1788686995.410030,no_oi,58,52,True,TREND_UP,True
BTCUSDT:long:50:1788686995.410030,no_delta_oi,58,0,False,TRANSITION,False
BTCUSDT:long:50:1788718896.157697,no_delta,58,6,False,TRANSITION,False
BTCUSDT:long:50:1788718896.157697,no_oi,58,52,True,TREND_UP,True
BTCUSDT:long:50:1788718896.157697,no_delta_oi,58,0,False,TRANSITION,False
BTCUSDT:long:50:1788736168.197905,no_delta,52,4,False,TRANSITION,False
BTCUSDT:long:50:1788736168.197905,no_oi,52,48,True,TREND_UP,False
BTCUSDT:long:50:1788736168.197905,no_delta_oi,52,0,False,TRANSITION,False
BTCUSDT:long:60:1788440586.051896,no_delta,65,4,False,TRANSITION,False
BTCUSDT:long:60:1788440586.051896,no_oi,65,61,True,TREND_UP,True
BTCUSDT:long:60:1788440586.051896,no_delta_oi,65,0,False,TRANSITION,False
BTCUSDT:long:60:1788459037.146044,no_delta,62,6,False,TRANSITION,False
BTCUSDT:long:60:1788459037.146044,no_oi,62,52,True,TREND_UP,False
BTCUSDT:long:60:1788459037.146044,no_delta_oi,62,0,False,TRANSITION,False
BTCUSDT:long:60:1788521248.493106,no_delta,62,6,False,TRANSITION,False
BTCUSDT:long:60:1788521248.493106,no_oi,62,52,True,TREND_UP,False
BTCUSDT:long:60:1788521248.493106,no_delta_oi,62,0,False,TRANSITION,False
BTCUSDT:long:60:1788549899.506735,no_delta,65,4,False,TRANSITION,False
BTCUSDT:long:60:1788549899.506735,no_oi,65,61,True,TREND_UP,True
BTCUSDT:long:60:1788549899.506735,no_delta_oi,65,0,False,TRANSITION,False
BTCUSDT:long:60:1788626092.492374,no_delta,62,6,False,TRANSITION,False
BTCUSDT:long:60:1788626092.492374,no_oi,62,52,True,TREND_UP,False
BTCUSDT:long:60:1788626092.492374,no_delta_oi,62,0,False,TRANSITION,False
BTCUSDT:long:60:1788691726.477256,no_delta,69,4,False,TRANSITION,False
BTCUSDT:long:60:1788691726.477256,no_oi,69,65,True,TREND_UP,True
BTCUSDT:long:60:1788691726.477256,no_delta_oi,69,0,False,TRANSITION,False
BTCUSDT:long:60:1788719759.288359,no_delta,62,6,False,TRANSITION,False
BTCUSDT:long:60:1788719759.288359,no_oi,62,52,True,TREND_UP,False
BTCUSDT:long:60:1788719759.288359,no_delta_oi,62,0,False,TRANSITION,False
BTCUSDT:long:60:1788736600.471488,no_delta,71,6,False,TRANSITION,False
BTCUSDT:long:60:1788736600.471488,no_oi,71,65,True,TREND_UP,True
BTCUSDT:long:60:1788736600.471488,no_delta_oi,71,0,False,TRANSITION,False
BTCUSDT:long:70:1788440646.763561,no_delta,85,4,False,TRANSITION,False
BTCUSDT:long:70:1788440646.763561,no_oi,85,81,True,TREND_UP,True
BTCUSDT:long:70:1788440646.763561,no_delta_oi,85,0,False,TRANSITION,False
BTCUSDT:long:70:1788691787.977298,no_delta,75,4,False,TRANSITION,False
BTCUSDT:long:70:1788691787.977298,no_oi,75,71,True,TREND_UP,True
BTCUSDT:long:70:1788691787.977298,no_delta_oi,75,0,False,TRANSITION,False
BTCUSDT:long:70:1788719882.769560,no_delta,71,6,False,TRANSITION,False
BTCUSDT:long:70:1788719882.769560,no_oi,71,65,True,TREND_UP,False
BTCUSDT:long:70:1788719882.769560,no_delta_oi,71,0,False,TRANSITION,False
BTCUSDT:long:70:1788736600.471488,no_delta,71,6,False,TRANSITION,False
BTCUSDT:long:70:1788736600.471488,no_oi,71,65,True,TREND_UP,False
BTCUSDT:long:70:1788736600.471488,no_delta_oi,71,0,False,TRANSITION,False
BTCUSDT:long:80:1788440646.763561,no_delta,85,4,False,TRANSITION,False
BTCUSDT:long:80:1788440646.763561,no_oi,85,81,True,TREND_UP,True
BTCUSDT:long:80:1788440646.763561,no_delta_oi,85,0,False,TRANSITION,False
BTCUSDT:long:80:1788691849.438029,no_delta,85,4,False,TRANSITION,False
BTCUSDT:long:80:1788691849.438029,no_oi,85,81,True,TREND_UP,True
BTCUSDT:long:80:1788691849.438029,no_delta_oi,85,0,False,TRANSITION,False
BTCUSDT:long:80:1788720252.918600,no_delta,87,6,False,TRANSITION,False
BTCUSDT:long:80:1788720252.918600,no_oi,87,81,True,TREND_UP,True
BTCUSDT:long:80:1788720252.918600,no_delta_oi,87,0,False,TRANSITION,False
BTCUSDT:long:80:1788736662.256192,no_delta,87,6,False,TRANSITION,False
BTCUSDT:long:80:1788736662.256192,no_oi,87,81,True,TREND_UP,True
BTCUSDT:long:80:1788736662.256192,no_delta_oi,87,0,False,TRANSITION,False
BTCUSDT:short:50:1788432292.016592,no_delta,50,4,False,RANGE,False
BTCUSDT:short:50:1788432292.016592,no_oi,50,46,True,TREND_DOWN,False
BTCUSDT:short:50:1788432292.016592,no_delta_oi,50,0,False,RANGE,False
BTCUSDT:short:50:1788483018.418626,no_delta,62,6,False,RANGE,False
BTCUSDT:short:50:1788483018.418626,no_oi,62,52,True,TREND_DOWN,True
BTCUSDT:short:50:1788483018.418626,no_delta_oi,62,0,False,RANGE,False
BTCUSDT:short:50:1788525452.500958,no_delta,65,4,False,TRANSITION,False
BTCUSDT:short:50:1788525452.500958,no_oi,65,61,True,TREND_DOWN,True
BTCUSDT:short:50:1788525452.500958,no_delta_oi,65,0,False,TRANSITION,False
BTCUSDT:short:50:1788570076.208749,no_delta,56,4,False,RANGE,False
BTCUSDT:short:50:1788570076.208749,no_oi,56,52,True,TREND_DOWN,True
BTCUSDT:short:50:1788570076.208749,no_delta_oi,56,0,False,RANGE,False
BTCUSDT:short:50:1788671720.590411,no_delta,52,4,False,TRANSITION,False
BTCUSDT:short:50:1788671720.590411,no_oi,52,48,True,TREND_DOWN,False
BTCUSDT:short:50:1788671720.590411,no_delta_oi,52,0,False,TRANSITION,False
BTCUSDT:short:50:1788701009.854528,no_delta,52,4,False,RANGE,False
BTCUSDT:short:50:1788701009.854528,no_oi,52,48,True,TREND_DOWN,False
BTCUSDT:short:50:1788701009.854528,no_delta_oi,52,0,False,RANGE,False
BTCUSDT:short:60:1788483018.418626,no_delta,62,6,False,RANGE,False
BTCUSDT:short:60:1788483018.418626,no_oi,62,52,True,TREND_DOWN,False
BTCUSDT:short:60:1788483018.418626,no_delta_oi,62,0,False,RANGE,False
BTCUSDT:short:60:1788525452.500958,no_delta,65,4,False,TRANSITION,False
BTCUSDT:short:60:1788525452.500958,no_oi,65,61,True,TREND_DOWN,True
BTCUSDT:short:60:1788525452.500958,no_delta_oi,65,0,False,TRANSITION,False
BTCUSDT:short:70:1788533985.822224,no_delta,71,6,False,TRANSITION,False
BTCUSDT:short:70:1788533985.822224,no_oi,71,65,True,TREND_DOWN,False
BTCUSDT:short:70:1788533985.822224,no_delta_oi,71,0,False,TRANSITION,False
ETHUSDT:long:50:1788439069.565877,no_delta,54,6,False,RANGE,False
ETHUSDT:long:50:1788439069.565877,no_oi,54,48,True,TREND_UP,False
ETHUSDT:long:50:1788439069.565877,no_delta_oi,54,0,False,RANGE,False
ETHUSDT:long:50:1788455830.127855,no_delta,52,4,False,RANGE,False
ETHUSDT:long:50:1788455830.127855,no_oi,52,48,True,TREND_UP,False
ETHUSDT:long:50:1788455830.127855,no_delta_oi,52,0,False,RANGE,False
ETHUSDT:long:50:1788471218.489975,no_delta,52,6,False,RANGE,False
ETHUSDT:long:50:1788471218.489975,no_oi,52,46,True,TREND_UP,False
ETHUSDT:long:50:1788471218.489975,no_delta_oi,52,0,False,RANGE,False
ETHUSDT:long:50:1788490983.836880,no_delta,50,4,False,TRANSITION,False
ETHUSDT:long:50:1788490983.836880,no_oi,50,46,True,TREND_UP,False
ETHUSDT:long:50:1788490983.836880,no_delta_oi,50,0,False,TRANSITION,False
ETHUSDT:long:50:1788511491.037888,no_delta,54,4,False,TRANSITION,False
ETHUSDT:long:50:1788511491.037888,no_oi,54,52,True,TREND_UP,True
ETHUSDT:long:50:1788511491.037888,no_delta_oi,54,0,False,TRANSITION,False
ETHUSDT:long:50:1788540474.809328,no_delta,56,4,False,RANGE,False
ETHUSDT:long:50:1788540474.809328,no_oi,56,52,True,TREND_UP,True
ETHUSDT:long:50:1788540474.809328,no_delta_oi,56,0,False,RANGE,False
ETHUSDT:long:50:1788557614.497340,no_delta,54,6,False,RANGE,False
ETHUSDT:long:50:1788557614.497340,no_oi,54,48,True,TREND_UP,False
ETHUSDT:long:50:1788557614.497340,no_delta_oi,54,0,False,RANGE,False
ETHUSDT:long:50:1788593998.306329,no_delta,54,6,False,TRANSITION,False
ETHUSDT:long:50:1788593998.306329,no_oi,54,48,True,TREND_UP,False
ETHUSDT:long:50:1788593998.306329,no_delta_oi,54,0,False,TRANSITION,False
ETHUSDT:long:50:1788623042.251099,no_delta,52,4,False,RANGE,False
ETHUSDT:long:50:1788623042.251099,no_oi,52,48,True,TREND_UP,False
ETHUSDT:long:50:1788623042.251099,no_delta_oi,52,0,False,RANGE,False
ETHUSDT:long:50:1788644524.707708,no_delta,54,4,False,TRANSITION,False
ETHUSDT:long:50:1788644524.707708,no_oi,54,52,True,TREND_UP,True
ETHUSDT:long:50:1788644524.707708,no_delta_oi,54,0,False,TRANSITION,False
ETHUSDT:long:50:1788659361.607322,no_delta,56,6,False,RANGE,False
ETHUSDT:long:50:1788659361.607322,no_oi,56,46,True,TREND_UP,False
ETHUSDT:long:50:1788659361.607322,no_delta_oi,56,0,False,RANGE,False
ETHUSDT:long:50:1788693570.372481,no_delta,50,4,False,RANGE,False
ETHUSDT:long:50:1788693570.372481,no_oi,50,46,True,TREND_UP,False
ETHUSDT:long:50:1788693570.372481,no_delta_oi,50,0,False,RANGE,False
ETHUSDT:long:50:1788726112.870767,no_delta,54,4,False,RANGE,False
ETHUSDT:long:50:1788726112.870767,no_oi,54,52,True,TREND_UP,True
ETHUSDT:long:50:1788726112.870767,no_delta_oi,54,0,False,RANGE,False
ETHUSDT:long:60:1788444536.754252,no_delta,62,6,False,TRANSITION,False
ETHUSDT:long:60:1788444536.754252,no_oi,62,52,True,TREND_UP,False
ETHUSDT:long:60:1788444536.754252,no_delta_oi,62,0,False,TRANSITION,False
ETHUSDT:long:60:1788459284.569770,no_delta,62,6,False,TRANSITION,False
ETHUSDT:long:60:1788459284.569770,no_oi,62,52,True,TREND_UP,False
ETHUSDT:long:60:1788459284.569770,no_delta_oi,62,0,False,TRANSITION,False
ETHUSDT:long:60:1788491295.821063,no_delta,62,6,False,TRANSITION,False
ETHUSDT:long:60:1788491295.821063,no_oi,62,52,True,TREND_UP,False
ETHUSDT:long:60:1788491295.821063,no_delta_oi,62,0,False,TRANSITION,False
ETHUSDT:long:60:1788512365.304357,no_delta,62,6,False,TRANSITION,False
ETHUSDT:long:60:1788512365.304357,no_oi,62,52,True,TREND_UP,False
ETHUSDT:long:60:1788512365.304357,no_delta_oi,62,0,False,TRANSITION,False
ETHUSDT:long:60:1788627007.967252,no_delta,62,6,False,TRANSITION,False
ETHUSDT:long:60:1788627007.967252,no_oi,62,52,True,TREND_UP,False
ETHUSDT:long:60:1788627007.967252,no_delta_oi,62,0,False,TRANSITION,False
ETHUSDT:long:60:1788644891.020141,no_delta,71,6,False,TRANSITION,False
ETHUSDT:long:60:1788644891.020141,no_oi,71,65,True,TREND_UP,True
ETHUSDT:long:60:1788644891.020141,no_delta_oi,71,0,False,TRANSITION,False
ETHUSDT:long:60:1788659544.969012,no_delta,87,6,False,TRANSITION,False
ETHUSDT:long:60:1788659544.969012,no_oi,87,81,True,TREND_UP,True
ETHUSDT:long:60:1788659544.969012,no_delta_oi,87,0,False,TRANSITION,False
ETHUSDT:long:60:1788728147.249871,no_delta,71,6,False,TRANSITION,False
ETHUSDT:long:60:1788728147.249871,no_oi,71,65,True,TREND_UP,True
ETHUSDT:long:60:1788728147.249871,no_delta_oi,71,0,False,TRANSITION,False
ETHUSDT:long:70:1788446305.270870,no_delta,71,6,False,TRANSITION,False
ETHUSDT:long:70:1788446305.270870,no_oi,71,65,True,TREND_UP,False
ETHUSDT:long:70:1788446305.270870,no_delta_oi,71,0,False,TRANSITION,False
ETHUSDT:long:70:1788644891.020141,no_delta,71,6,False,TRANSITION,False
ETHUSDT:long:70:1788644891.020141,no_oi,71,65,True,TREND_UP,False
