event_id,symbol,side,threshold,day,signal_net,signal_quality,n_controls,control_mean,difference,status
BTCUSDT:long:50:1788436707.984125,BTCUSDT,long,50,2026-09-03,4.213941488774773,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:long:50:1788455891.082260,BTCUSDT,long,50,2026-09-03,0.4652831459925545,True,2,1.5427136916891049,-1.0774305456965503,OK
BTCUSDT:long:50:1788513426.338592,BTCUSDT,long,50,2026-09-04,-2.424896427410541,True,4,0.8223696075057191,-3.2472660349162603,OK
BTCUSDT:long:50:1788548706.778625,BTCUSDT,long,50,2026-09-04,-0.2043424302668816,False,5,0.20920130626826516,,OK
BTCUSDT:long:50:1788599163.482048,BTCUSDT,long,50,2026-09-05,-0.12590034196875644,True,5,-0.13328715323822624,0.007386811269469801,OK
BTCUSDT:long:50:1788624079.365264,BTCUSDT,long,50,2026-09-05,-0.14569569528164672,True,5,-0.8668661968354406,0.7211705015537939,OK
BTCUSDT:long:50:1788653741.911188,BTCUSDT,long,50,2026-09-06,-0.0363618925751118,True,5,-0.7293518527934716,0.6929899602183598,OK
BTCUSDT:long:50:1788686995.410030,BTCUSDT,long,50,2026-09-06,-0.37627812618038703,True,5,-0.665667546781734,0.289389420601347,OK
BTCUSDT:long:50:1788718896.157697,BTCUSDT,long,50,2026-09-06,-0.37983100341098186,True,5,-0.3435252685746558,-0.03630573483632604,OK
BTCUSDT:long:50:1788736168.197905,BTCUSDT,long,50,2026-09-06,,False,1,-0.5741661878519343,,OK
BTCUSDT:long:60:1788440586.051896,BTCUSDT,long,60,2026-09-03,2.7551348216284444,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:long:60:1788459037.146044,BTCUSDT,long,60,2026-09-03,0.06526839296595377,True,2,1.3312649797883858,-1.2659965868224319,OK
BTCUSDT:long:60:1788521248.493106,BTCUSDT,long,60,2026-09-04,-2.551401585921278,True,4,0.5836675839116184,-3.1350691698328963,OK
BTCUSDT:long:60:1788549899.506735,BTCUSDT,long,60,2026-09-04,-0.22456631309710973,False,5,0.15207601394978457,,OK
BTCUSDT:long:60:1788626092.492374,BTCUSDT,long,60,2026-09-05,-0.458750675499877,True,5,-0.747421798179122,0.288671122679245,OK
BTCUSDT:long:60:1788691726.477256,BTCUSDT,long,60,2026-09-06,-0.529523356840702,True,5,-0.6969255907355952,0.16740223389489328,OK
BTCUSDT:long:60:1788719759.288359,BTCUSDT,long,60,2026-09-06,-0.11211690011486908,True,4,-0.42210162692228814,0.30998472680741906,OK
BTCUSDT:long:60:1788736600.471488,BTCUSDT,long,60,2026-09-06,,False,3,-0.27762302432615155,,OK
BTCUSDT:long:70:1788440646.763561,BTCUSDT,long,70,2026-09-03,2.8443921895827096,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:long:70:1788691787.977298,BTCUSDT,long,70,2026-09-06,-0.4873738958144157,True,5,-0.6969255907355952,0.20955169492117953,OK
BTCUSDT:long:70:1788719882.769560,BTCUSDT,long,70,2026-09-06,-0.056057780741993635,True,5,-0.36931145786634356,0.3132536771243499,OK
BTCUSDT:long:70:1788736600.471488,BTCUSDT,long,70,2026-09-06,,False,3,-0.27762302432615155,,OK
BTCUSDT:long:80:1788440646.763561,BTCUSDT,long,80,2026-09-03,2.8443921895827096,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:long:80:1788691849.438029,BTCUSDT,long,80,2026-09-06,-0.5137406739869753,True,5,-0.7041402364024506,0.1903995624154753,OK
BTCUSDT:long:80:1788720252.918600,BTCUSDT,long,80,2026-09-06,-0.08420946722162082,True,5,-0.36354994700482635,0.27934047978320553,OK
BTCUSDT:long:80:1788736662.256192,BTCUSDT,long,80,2026-09-06,,False,2,-0.31159343277091456,,OK
BTCUSDT:short:50:1788432292.016592,BTCUSDT,short,50,2026-09-03,-3.071744717319138,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:short:50:1788483018.418626,BTCUSDT,short,50,2026-09-04,-0.025890885230042016,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:short:50:1788525452.500958,BTCUSDT,short,50,2026-09-04,-0.4220760174297754,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:short:50:1788570076.208749,BTCUSDT,short,50,2026-09-05,-0.027712772979695433,True,3,-1.2338478076481607,1.2061350346684652,OK
BTCUSDT:short:50:1788671720.590411,BTCUSDT,short,50,2026-09-06,-0.2585147458661917,True,4,-0.39498866824837986,0.13647392238218814,OK
BTCUSDT:short:50:1788701009.854528,BTCUSDT,short,50,2026-09-06,0.01748279898435634,True,4,-0.248294423895689,0.26577722288004535,OK
BTCUSDT:short:60:1788483018.418626,BTCUSDT,short,60,2026-09-04,-0.025890885230042016,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:short:60:1788525452.500958,BTCUSDT,short,60,2026-09-04,-0.4220760174297754,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
BTCUSDT:short:70:1788533985.822224,BTCUSDT,short,70,2026-09-04,-1.001076256833091,True,1,-0.3227049603314346,-0.6783712965016565,OK
ETHUSDT:long:50:1788439069.565877,ETHUSDT,long,50,2026-09-03,3.1126569136385207,True,0,,,NO_CONTROL_WITHIN_FIXED_CALIPER
ETHUSDT:long:50:1788455830.127855,ETHUSDT,long,50,2026-09-03,0.41154444079763774,True,2,1.3687176141152202,-0.9571731733175824,OK
ETHUSDT:long:50:1788471218.489975,ETHUSDT,long,50,2026-09-03,-0.6980438677689959,True,3,1.0095963049510452,-1.707640172720041,OK
ETHUSDT:long:50:1788490983.836880,ETHUSDT,long,50,2026-09-04,-0.17892564220987273,True,3,0.8784884749477858,-1.0574141171576585,OK
ETHUSDT:long:50:1788511491.037888,ETHUSDT,long,50,2026-09-04,-2.8382415208811484,True,4,0.7118964499232833,-3.550137970804432,OK
ETHUSDT:long:50:1788540474.809328,ETHUSDT,long,50,2026-09-04,-0.3590253618916982,True,5,0.18379231032637613,-0.5428176722180743,OK
ETHUSDT:long:50:1788557614.497340,ETHUSDT,long,50,2026-09-04,-0.1554484225451923,True,5,0.04021327255123497,-0.19566169509642728,OK
ETHUSDT:long:50:1788593998.306329,ETHUSDT,long,50,2026-09-05,-0.3144979065026664,True,5,0.17177831605748933,-0.48627622256015574,OK
ETHUSDT:long:50:1788623042.251099,ETHUSDT,long,50,2026-09-05,0.6372459197831893,True,5,-0.7273097869410882,1.3645557067242775,OK
ETHUSDT:long:50:1788644524.707708,ETHUSDT,long,50,2026-09-05,0.6269688367017557,True,5,-0.6659729492995158,1.2929417860012715,OK
