symbol,side,threshold,horizon,reported_n,recovered_n,reported_mean,recovered_mean,agrees
BTCUSDT,long,50,15,11,10,-0.13148,-0.1357069454208403,False
BTCUSDT,long,60,15,9,8,-0.20374,-0.2180516804118342,False
BTCUSDT,long,70,15,4,4,-0.19335,-0.1933522016005378,True
BTCUSDT,long,80,15,4,4,-0.18608,-0.1860819647575167,True
BTCUSDT,long,90,15,0,0,,,True
BTCUSDT,long,50,30,11,10,-0.08283,-0.0848009032280449,False
BTCUSDT,long,60,30,9,8,-0.14185,-0.151682812154607,False
BTCUSDT,long,70,30,4,4,-0.06815,-0.06814882845163284,True
BTCUSDT,long,80,30,4,4,-0.09841,-0.0984112761827215,True
BTCUSDT,long,90,30,0,0,,,True
BTCUSDT,long,50,60,11,10,0.01368,-0.003836654811268825,False
BTCUSDT,long,60,60,9,8,-0.07808,-0.11144200693230732,False
BTCUSDT,long,70,60,4,4,-0.08251,-0.08251046616068669,True
BTCUSDT,long,80,60,4,4,-0.09966,-0.09965530690275937,True
BTCUSDT,long,90,60,0,0,,,True
BTCUSDT,long,50,240,10,9,0.07693,0.10954652418589117,False
BTCUSDT,long,60,240,8,7,-0.15907,-0.15085080241134824,False
BTCUSDT,long,70,240,3,3,0.76699,0.7669868376754333,True
BTCUSDT,long,80,240,3,3,0.74881,0.7488140161247044,True
BTCUSDT,long,90,240,0,0,,,True
BTCUSDT,short,50,15,6,6,-0.17986,-0.17985900231616123,True
BTCUSDT,short,60,15,2,2,-0.0741,-0.07410424556105955,True
BTCUSDT,short,70,15,1,1,-0.47408,-0.4740785590409934,True
BTCUSDT,short,80,15,0,0,,,True
BTCUSDT,short,90,15,0,0,,,True
BTCUSDT,short,50,30,6,6,-0.1539,-0.15390029435432948,True
BTCUSDT,short,60,30,2,2,0.15294,0.15294013613287094,True
BTCUSDT,short,70,30,1,1,-0.75805,-0.7580513382217234,True
BTCUSDT,short,80,30,0,0,,,True
BTCUSDT,short,90,30,0,0,,,True
BTCUSDT,short,50,60,6,6,-0.09328,-0.09327658071833618,True
BTCUSDT,short,60,60,2,2,0.17731,0.17730880031015317,True
BTCUSDT,short,70,60,1,1,-0.70088,-0.7008764616991757,True
BTCUSDT,short,80,60,0,0,,,True
BTCUSDT,short,90,60,0,0,,,True
BTCUSDT,short,50,240,6,6,-0.63141,-0.6314093899734144,True
BTCUSDT,short,60,240,2,2,-0.22398,-0.2239834513299087,True
BTCUSDT,short,70,240,1,1,-1.00108,-1.001076256833091,True
BTCUSDT,short,80,240,0,0,,,True
BTCUSDT,short,90,240,0,0,,,True
ETHUSDT,long,50,15,14,13,-0.12029,-0.11533109649473287,False
ETHUSDT,long,60,15,8,8,-0.03412,-0.03412276277210902,True
ETHUSDT,long,70,15,4,4,0.19577,0.19577108601876514,True
ETHUSDT,long,80,15,3,3,0.22035,0.2203479884731997,True
ETHUSDT,long,90,15,0,0,,,True
ETHUSDT,long,50,30,14,13,-0.12604,-0.12627941020850272,False
ETHUSDT,long,60,30,8,8,-0.07709,-0.07709118504217949,True
ETHUSDT,long,70,30,4,4,0.26372,0.2637211645669219,True
ETHUSDT,long,80,30,3,3,-0.01822,-0.018221668052208,True
ETHUSDT,long,90,30,0,0,,,True
ETHUSDT,long,50,60,14,13,-0.15496,-0.14033706421402492,False
ETHUSDT,long,60,60,8,8,0.09334,0.09334370329828959,True
ETHUSDT,long,70,60,4,4,0.18266,0.18265649155284955,True
ETHUSDT,long,80,60,3,3,-0.17242,-0.17242015893137294,True
ETHUSDT,long,90,60,0,0,,,True
ETHUSDT,long,50,240,14,13,-0.04621,0.018120616793970257,False
ETHUSDT,long,60,240,8,8,0.06625,0.06624858359145147,True
ETHUSDT,long,70,240,4,4,0.64004,0.6400361538011246,True
ETHUSDT,long,80,240,2,2,0.43894,0.4389378703685477,True
ETHUSDT,long,90,240,0,0,,,True
ETHUSDT,short,50,15,7,7,-0.02512,-0.025119008195870336,True
ETHUSDT,short,60,15,2,2,-0.29892,-0.29891558581957234,True
ETHUSDT,short,70,15,1,1,-0.24596,-0.2459631271573136,True
ETHUSDT,short,80,15,0,0,,,True
ETHUSDT,short,90,15,0,0,,,True
ETHUSDT,short,50,30,7,7,-0.15847,-0.15847184595948205,True
ETHUSDT,short,60,30,2,2,-0.38959,-0.3895929748520842,True
ETHUSDT,short,70,30,1,1,-0.27623,-0.2762269953704565,True
ETHUSDT,short,80,30,0,0,,,True
ETHUSDT,short,90,30,0,0,,,True
ETHUSDT,short,50,60,7,7,-0.09323,-0.09323481442121272,True
ETHUSDT,short,60,60,2,2,-0.60376,-0.6037571312677702,True
ETHUSDT,short,70,60,1,1,-0.30485,-0.30485497881528534,True
ETHUSDT,short,80,60,0,0,,,True
ETHUSDT,short,90,60,0,0,,,True
