symbol,side,horizon,recorded,n,mean,median,win_rate,pf
BTCUSDT,long,15,15,15,-0.15243197361978797,-0.1296543613263833,0.06666666666666667,0.006381848203605716
BTCUSDT,long,30,15,15,-0.18939706445777318,-0.19423133638936319,0.13333333333333333,0.012979176843890473
BTCUSDT,long,60,15,15,-0.107180831989595,-0.10147346073249508,0.2,0.3507944243190894
BTCUSDT,long,240,15,14,-0.03439313271644156,-0.22455593826440567,0.2857142857142857,0.900348849846193
BTCUSDT,short,15,11,11,-0.16574488712421157,-0.1279244186558247,0.0,0.0
BTCUSDT,short,30,11,11,-0.21372601507326794,-0.17655461730746935,0.09090909090909091,0.1438842545311369
BTCUSDT,short,60,11,11,-0.25519048034790004,-0.2729132480528661,0.09090909090909091,0.034803497574119435
BTCUSDT,short,240,11,10,-0.0676459676021867,-0.16207525784259424,0.4,0.7751480656259556
ETHUSDT,long,15,17,17,-0.14398657797225048,-0.15197493165358889,0.11764705882352941,0.05349050197207223
ETHUSDT,long,30,17,17,-0.15416209964036623,-0.1050585828065741,0.11764705882352941,0.08796578761047896
ETHUSDT,long,60,17,17,-0.26954371202061145,-0.11394687779956658,0.29411764705882354,0.15678029329711995
ETHUSDT,long,240,17,16,-0.0009391138567447221,0.03126927188412465,0.5625,0.997282293353507
ETHUSDT,short,15,10,10,0.07641507925988508,-0.1279687805998041,0.3,1.4618474892226325
ETHUSDT,short,30,10,10,0.07426736388285624,-0.14425365864486273,0.2,1.4820648451966174
ETHUSDT,short,60,10,10,0.022615847401958968,-0.17973743964364786,0.3,1.1058150076276183
ETHUSDT,short,240,10,10,-0.09994813363914935,-0.33845869362858705,0.2,0.6562049965545133
SOLUSDT,long,15,19,19,-0.07876726669868345,-0.12,0.3157894736842105,0.5058365225971102
SOLUSDT,long,30,19,19,-0.14583592548310223,-0.20653014133256364,0.3157894736842105,0.40906287701550265
SOLUSDT,long,60,19,19,-0.16943313624808756,-0.12953107129242347,0.42105263157894735,0.3475318687567403
SOLUSDT,long,240,19,18,-0.04725382119001338,-0.2672764373599722,0.4444444444444444,0.9074245827807944
SOLUSDT,short,15,14,14,-0.2273149952040054,-0.26146704213013894,0.07142857142857142,0.09993617872425854
SOLUSDT,short,30,14,14,-0.2705370513642341,-0.24483720579773427,0.07142857142857142,0.11318879049012795
SOLUSDT,short,60,14,14,-0.2562379932956023,-0.2426994119016278,0.07142857142857142,0.12839005592104163
SOLUSDT,short,240,14,13,-0.14323309523763006,-0.35741220694430964,0.15384615384615385,0.6579746284610273
