policy,entry_utc,exit_utc,entry_index,exit_index,level,support,entry,exit,initial_stop,risk_price,risk_pct,net_pct,net_r,cost_r,reason,score_signal_utc,hold_minutes
fixed,2026-09-08T17:40:39.338651+00:00,2026-09-08T18:11:23.360064+00:00,925,955,prior_1h,2489.25,2488.87,2497.31,2485.175,3.694999999999709,0.1484609481411126,0.21910971645767507,1.4758744248986424,0.8082933694181962,target,,30.733690218130747
fixed,2026-09-08T21:42:01.668278+00:00,2026-09-09T00:07:10.432017+00:00,1160,1301,prior_1h,2480.48,2481.7,2491.46,2476.917857142857,4.782142857142844,0.19269625084187633,0.2732788008220278,1.4181843166542691,0.6227417475728171,target,,145.14606231848398
fixed,2026-09-09T02:19:08.116315+00:00,2026-09-09T03:14:48.585377+00:00,1429,1483,prior_1h,2488.62,2493.31,2486.24,2486.257857142857,7.052142857142826,0.2828426010862198,-0.40355880335779737,-1.426796394206451,0.42426423579459316,stop,,55.67448436419169
fixed,2026-09-09T09:56:08.758884+00:00,2026-09-09T10:16:52.230838+00:00,1871,1891,prior_4h,2490.43,2489.97,2486.49,2487.407142857143,2.5628571428569558,0.10292722976007566,-0.2597607200086748,-2.5237317725754416,1.1658722408027604,stop,,20.7245325644811
fixed,2026-09-09T14:20:53.008575+00:00,2026-09-09T14:26:05.393194+00:00,2126,2131,prior_1h,2496.55,2495.65,2501.31,2492.9814285714288,2.66857142857134,0.10692891345226055,0.10679462264338924,0.998744111349015,1.122240899357639,target,,5.206410320599874
fixed,2026-09-09T18:32:47.142029+00:00,2026-09-09T18:54:43.726063+00:00,2367,2388,prior_1h,2487.96,2488.66,2483.08,2483.8996428571427,4.760357142857174,0.1912819405968342,-0.3442170485321382,-1.7995271663290298,0.627346207517439,stop,,21.94306724468867
fixed,2026-09-10T00:51:38.054215+00:00,2026-09-10T01:06:19.285288+00:00,2729,2743,prior_1h,2462.68,2463.29,2472.81,2459.127857142857,4.162142857142953,0.16896682311635874,0.2664749988836014,1.5770847434356896,0.7101985927578349,target,,14.687184552351633
fixed,2026-09-10T05:06:29.969100+00:00,2026-09-10T05:53:39.895456+00:00,2972,3017,prior_1h,2472.33,2473.75,2482.2,2469.7164285714284,4.033571428571577,0.16305493394933104,0.22158665992924942,1.358969364264116,0.7359482911280055,target,,47.165439260005954
fixed,2026-09-10T09:40:13.449575+00:00,2026-09-10T11:02:53.319090+00:00,3233,3312,prior_4h,2463.71,2465.48,2460.88,2461.0882142857145,4.391785714285561,0.17813106227937608,-0.30657624478802814,-1.7210712206229555,0.6736612832398381,stop,,82.66449191172917
fixed,2026-09-10T15:47:53.078712+00:00,2026-09-10T16:47:45.792280+00:00,3583,3640,prior_1h,2432.54,2434.22,2449.74,2426.989285714286,7.23071428571393,0.29704440378083863,0.5175758970019074,1.7424192828213811,0.4039800059271165,target,,59.878559458255765
