policy,threshold,level_type,period,recorded,evaluated,excluded,mean_pct,median_pct,win_rate,profit_factor,sum_equal_notional_pct,avg_mae_pct,avg_mfe_pct,contributing_days,best_day,mean_without_best_day_pct
score_only,50,none,all,34,33,1,0.10225754836791717,0.02867230754855854,0.5454545454545454,1.3480179040733515,3.3744990961412666,-0.6188096943468729,0.819726635187291,13,2026-09-18,-0.02593699783370167
score_only,50,none,first_half,12,12,0,-0.33835396261009054,-0.17382268967160097,0.4166666666666667,0.2662677803590853,-4.060247551321087,-0.6642078837818449,0.36776235118279876,6,2026-09-10,-0.3811775004678937
score_only,50,none,second_half,22,21,1,0.35403555464106445,0.22571072029718764,0.6190476190476191,2.786062507908339,7.434746647462354,-0.5928678718126031,1.0779919403327152,7,2026-09-18,0.19459262436139638
score_context_available,50,prior_day,all,15,15,0,0.4483826947415915,0.33384322144419454,0.6666666666666666,3.1727115120081493,6.725740421123873,-0.5033988724774688,1.1311915450797594,8,2026-09-18,0.2700645200289682
score_context_available,50,prior_day,first_half,7,7,0,-0.1719285942626497,0.1327049538257442,0.5714285714285714,0.5461205816816851,-1.203500159838548,-0.6179987057910182,0.41040794859566226,4,2026-09-10,-0.22270085227738204
score_context_available,50,prior_day,second_half,8,8,0,0.9911550726203026,0.8599503668725507,0.75,18.86002354561704,7.9292405809624205,-0.4031240183281132,1.7618771920033445,4,2026-09-18,0.8888548800372332
score_plus_level,50,prior_day,all,0,0,0,,,,,0,,,0,,
score_plus_level,50,prior_day,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,50,prior_day,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,50,prior_day,all,15,15,0,0.4483826947415915,0.33384322144419454,0.6666666666666666,3.1727115120081493,6.725740421123873,-0.5033988724774688,1.1311915450797594,8,2026-09-18,0.2700645200289682
score_rejected_by_level,50,prior_day,first_half,7,7,0,-0.1719285942626497,0.1327049538257442,0.5714285714285714,0.5461205816816851,-1.203500159838548,-0.6179987057910182,0.41040794859566226,4,2026-09-10,-0.22270085227738204
score_rejected_by_level,50,prior_day,second_half,8,8,0,0.9911550726203026,0.8599503668725507,0.75,18.86002354561704,7.9292405809624205,-0.4031240183281132,1.7618771920033445,4,2026-09-18,0.8888548800372332
score_context_available,50,prior_1h,all,19,19,0,0.2637254303186149,0.1327049538257442,0.5789473684210527,2.0361706057849314,5.010783176053683,-0.559016098960539,0.988034544559721,11,2026-09-18,0.09536356220483927
score_context_available,50,prior_1h,first_half,10,10,0,-0.19496862167119644,-0.007640113423081796,0.5,0.4304375602188524,-1.9496862167119646,-0.6072595386408297,0.41007396436304466,6,2026-09-10,-0.2313767967264121
score_context_available,50,prior_1h,second_half,9,9,0,0.7733854880850719,0.7974450991909389,0.6666666666666666,5.926939120120259,6.960469392765647,-0.5054122770935495,1.6302129670004724,5,2026-09-18,0.5792505353315655
score_plus_level,50,prior_1h,all,0,0,0,,,,,0,,,0,,
score_plus_level,50,prior_1h,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,50,prior_1h,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,50,prior_1h,all,19,19,0,0.2637254303186149,0.1327049538257442,0.5789473684210527,2.0361706057849314,5.010783176053683,-0.559016098960539,0.988034544559721,11,2026-09-18,0.09536356220483927
score_rejected_by_level,50,prior_1h,first_half,10,10,0,-0.19496862167119644,-0.007640113423081796,0.5,0.4304375602188524,-1.9496862167119646,-0.6072595386408297,0.41007396436304466,6,2026-09-10,-0.2313767967264121
score_rejected_by_level,50,prior_1h,second_half,9,9,0,0.7733854880850719,0.7974450991909389,0.6666666666666666,5.926939120120259,6.960469392765647,-0.5054122770935495,1.6302129670004724,5,2026-09-18,0.5792505353315655
score_context_available,50,prior_4h,all,19,19,0,0.2637254303186149,0.1327049538257442,0.5789473684210527,2.0361706057849314,5.010783176053683,-0.559016098960539,0.988034544559721,11,2026-09-18,0.09536356220483927
score_context_available,50,prior_4h,first_half,10,10,0,-0.19496862167119644,-0.007640113423081796,0.5,0.4304375602188524,-1.9496862167119646,-0.6072595386408297,0.41007396436304466,6,2026-09-10,-0.2313767967264121
score_context_available,50,prior_4h,second_half,9,9,0,0.7733854880850719,0.7974450991909389,0.6666666666666666,5.926939120120259,6.960469392765647,-0.5054122770935495,1.6302129670004724,5,2026-09-18,0.5792505353315655
score_plus_level,50,prior_4h,all,0,0,0,,,,,0,,,0,,
score_plus_level,50,prior_4h,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,50,prior_4h,second_half,0,0,0,,,,,0,,,0,,
